file depth swaps qubits
ham_all_vib_bh_enc_stdbinary_dvalues_d_level_4.qasm 1 0 2
ham_all_vib_c2h_mu_y_prime_enc_stdbinary_dvalues_8_8_4_4.qasm 56 2 3
ham_all_vib_o3_mu_y_prime_enc_unary_dvalues_4_4_4.qasm 6 0 4
ham_all_vib_c2h_mu_z_prime_enc_gray_dvalues_4_4_4_4.qasm 4 0 4
ham_graph_gnp_k_2_gnp_k_2_n_4_rinst_05.qasm 16 7 4
ham_LiH_parity_4.qasm 121 9 4
ham_all_vib_fccf_mu_y_prime_enc_stdbinary_dvalues_16_16_16_16_8_8_8.qasm 224 9 4
ham_all_vib_ch2_mu_y_prime_enc_gray_dvalues_16_16_16.qasm 131 16 4
ham_all_vib_f2_enc_gray_dvalues_d_level_16.qasm 533 36 4
ham_all_vib_bhf2_mu_y_prime_enc_stdbinary_dvalues_8_8_8_8_8_8.qasm 56 4 6
ham_graph_gnp_k_4_gnp_k_4_n_6_rinst_15.qasm 86 59 6
ham_Be2_JW_6.qasm 461 69 6
ham_all_vib_fccf_mu_y_prime_enc_unary_dvalues_8_8_8_8_8_8_8.qasm 14 0 8
ham_uf20_ham_7_uf20_0384_cnf_8_res.qasm 41 24 8
ham_TSP_Ncity_4_tsp_rand_002_Ncity_4_enc_stdbinary.qasm 145 41 8
ham_H2_JW_8.qasm 1931 332 8
ham_all_vib_o3_enc_gray_dvalues_8_8_8.qasm 33551 3077 9
ham_graph_complete_bipart_complbipart_n_10_a_5_b_5.qasm 129 111 10
ham_OH_JW10.qasm 3384 703 10
ham_HF_parity10.qasm 3646 788 10
ham_BH_JW_10.qasm 3387 709 10
ham_all_vib_cyclo_propene_mu_x_prime_enc_stdbinary_dvalues_8_8_8_8_8_8_8_8_8_4_4_4_4_4_4.qasm 56 6 11
ham_all_vib_hno_mu_x_prime_enc_unary_dvalues_4_4_4.qasm 6 0 12
ham_OH_parity12.qasm 9408 1549 12
ham_HF_BK12.qasm 9218 3194 12
ham_OH_JW12.qasm 8858 1309 12
ham_BH_D_1_d_8_bh_graph_1D_grid_pbc_qubitnodes_Lx_4_U_40_enc_gray_d_8.qasm 10317 1234 12
ham_all_vib_hco_enc_unary_dvalues_4_4_4.qasm 20356 4619 12
ham_N2_parity_14.qasm 9990 2753 14
ham_Li2_JW14.qasm 10342 1821 14
ham_all_vib_fccf_enc_gray_dvalues_4_4_4_4_4_4_4.qasm 8507 1208 14
ham_NH_BK_14.qasm 18646 6687 14
ham_NH_JW_14.qasm 18145 3949 14
ham_all_vib_fccf_mu_z_prime_enc_unary_dvalues_16_16_16_16_16_16_16.qasm 30 0 16
ham_tfim_graph_1D_grid_pbc_qubitnodes_Lx_16_h_2.qasm 33 23 16
ham_C2_JW_18.qasm 41259 10502 18
ham_N2_JW_22.qasm 121516 29567 22
ham_O3_BK22.qasm 127897 60671 22
ham_all_vib_hc3h2cn_mu_y_prime_enc_stdbinary_dvalues_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4.qasm 4 0 24
ham_ham_graph_gnp_k_5_gnp_k_5_n_24_rinst_04.qasm 163 356 24
ham_TSP_Ncity_8_tsp_prob_ulysses22_Ncity_8_enc_stdbinary.qasm 2536 824 24
ham_Na2_JW24.qasm 190040 44984 24
ham_TSP_Ncity_5_tsp_prob_ts225_Ncity_5_enc_unary.qasm 116 298 25
ham_tfim_graph_1D_grid_pbc_qubitnodes_Lx_26_h_6.qasm 50 43 26
ham_BH_D_1_d_4_bh_graph_1D_grid_pbc_qubitnodes_Lx_14_U_10_enc_stdbinary_d_4.qasm 3547 334 28
ham_BH_D_2_d_4_bh_graph_2D_triag_nonpbc_qubitnodes_Lx_3_Ly_5_U_30_enc_gray_d_4.qasm 5622 1054 28
ham_ham_binary_graph_regular_k_5_reg_5_n_10_rinst_07.qasm 7306 3864 30
ham_all_vib_h2co_mu_y_prime_enc_unary_dvalues_16_16_16_16_16_16.qasm 30 0 32
ham_BH_D_3_d_4_bh_graph_3D_grid_nonpbc_qubitnodes_Lx_2_Ly_2_Lz_2_U_20_enc_unary_d_4.qasm 9073 3065 32
ham_uuf100_ham_0_uuf100_0810_cnf_40_res.qasm 833 1629 40
ham_uuf100_ham_8_uuf100_0509_cnf_40_cc.qasm 718 1538 40
ham_graph_gnp_k_4_gnp_k_4_n_40_rinst_07.qasm 2036 3718 40
ham_uf100_ham_2_uf100_0396_cnf_46_res.qasm 1162 2449 46
ham_uf100_ham_2_uf100_0601_cnf_46_res.qasm 1315 2773 46
ham_BH_D_1_d_4_bh_graph_1D_grid_nonpbc_qubitnodes_Lx_12_U_40_enc_unary_d_4.qasm 8663 1759 48
ham_BH_D_1_d_4_bh_graph_1D_grid_pbc_qubitnodes_Lx_24_U_20_enc_stdbinary_d_4.qasm 6114 682 48
ham_TSP_Ncity_7_tsp_prob_lin105_Ncity_7_enc_unary.qasm 564 1593 49
ham_graph_gnp_k_5_gnp_k_5_n_60_rinst_19.qasm 6439 12351 60
ham_BH_D_2_d_4_bh_graph_2D_triag_pbc_qubitnodes_Lx_5_Ly_5_U_30_enc_unary_d_4.qasm 34422 14239 60
ham_all_vib_cyclo_propene_mu_x_prime_enc_unary_dvalues_16_16_16_16_16_16_16_16_16_16_16_16_16_16_16.qasm 30 0 64
ham_TSP_Ncity_8_tsp_prob_d198_Ncity_8_enc_unary.qasm 1084 2776 64
ham_TSP_Ncity_16_tsp_prob_kroD100_Ncity_16_enc_stdbinary.qasm 34787 13345 64
ham_TSP_Ncity_16_tsp_prob_fl417_Ncity_16_enc_stdbinary.qasm 33853 12290 64
ham_uf100_ham_4_uf100_0246_cnf_70_res.qasm 5015 10052 70
